filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
samples/integer overflow (OF)/1001.sol,1001.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716311946.845561,82.29442000389099,0,{},{},{},{}
samples/integer overflow (OF)/1005.sol,1005.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716301468.261003,100.363844871521,0,{},{},{},{}
samples/integer overflow (OF)/1008.sol,1008.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716309681.87627,98.83823895454407,0,{},{},{},{}
samples/integer overflow (OF)/1010.sol,1010.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716307307.05604,38.252588987350464,0,{},{},{},{}
samples/integer overflow (OF)/1018.sol,1018.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716309788.689762,86.90033984184265,0,{},{},{},{}
samples/integer overflow (OF)/1021.sol,1021.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716309102.093149,76.73364019393921,0,{},{},{},{}
samples/integer overflow (OF)/1028.sol,1028.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716301446.104553,1.4878499507904053,0,{},{analysis incomplete},{Solidity compilation failed},{}
samples/integer overflow (OF)/1031.sol,1031.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716302851.692631,35.87552213668823,0,{},{},{},{}
samples/integer overflow (OF)/1038.sol,1038.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716303795.5412831,1.8916280269622803,0,{},{analysis incomplete},{Solidity compilation failed},{}
samples/integer overflow (OF)/1039.sol,1039.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716301156.180516,59.3635470867157,0,{},{},{},{}
samples/integer overflow (OF)/1040.sol,1040.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716299211.8085241,133.67728686332703,0,{},{},{},{}
samples/integer overflow (OF)/1050.sol,1050.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716308933.734099,67.94925308227539,0,{},{},{},{}
samples/integer overflow (OF)/1054.sol,1054.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716303243.1800818,82.41546607017517,137,{},{analysis incomplete},{},{DOCKER_KILL_OOM}
samples/integer overflow (OF)/1061.sol,1061.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716306676.2741828,42.111680030822754,0,{},{},{},{}
samples/integer overflow (OF)/1062.sol,1062.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716297320.6158779,33.27366399765015,0,{},{},{},{}
samples/integer overflow (OF)/1066.sol,1066.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716302333.355428,71.37521290779114,0,{},{},{},{}
samples/integer overflow (OF)/1067.sol,1067.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716302722.913877,175.37805581092834,0,{},{},{},{}
samples/integer overflow (OF)/1069.sol,1069.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716302186.2221482,168.63097882270813,0,{},{},{},{}
samples/integer overflow (OF)/107.sol,107.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716303163.294522,40.8667368888855,0,{},{},{},{}
samples/integer overflow (OF)/1073.sol,1073.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716307935.471313,26.877091884613037,0,{},{},{},{}
samples/integer overflow (OF)/1074.sol,1074.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716301978.193952,74.15160799026489,0,{},{},{},{}
samples/integer overflow (OF)/1076.sol,1076.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716309875.602411,502.7777819633484,0,{},{},{SYMBOLIC EXECUTION TIMEOUT},{}
samples/integer overflow (OF)/1078.sol,1078.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716296832.4665952,54.20704889297485,0,{},{},{},{}
samples/integer overflow (OF)/1081.sol,1081.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716304947.895349,66.29931282997131,0,{},{},{},{}
samples/integer overflow (OF)/1083.sol,1083.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716302919.382567,31.405617237091064,0,{},{},{},{}
samples/integer overflow (OF)/1087.sol,1087.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716300320.63049,49.0060670375824,0,{},{},{},{}
samples/integer overflow (OF)/1089.sol,1089.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716307892.0270379,43.42923712730408,0,{},{},{},{}
samples/integer overflow (OF)/1092.sol,1092.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716308170.6528661,93.74994683265686,0,{},{},{},{}
samples/integer overflow (OF)/1094.sol,1094.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716302263.824801,69.51983380317688,0,{},{},{},{}
samples/integer overflow (OF)/1097.sol,1097.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716302034.0621529,29.161505222320557,0,{},{},{},{}
samples/integer overflow (OF)/1100.sol,1100.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716309412.460622,62.18690371513367,0,{},{},{},{}
samples/integer overflow (OF)/1104.sol,1104.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716309623.143877,80.94003295898438,0,{},{},{},{}
samples/integer overflow (OF)/1111.sol,1111.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716300507.773184,545.0780720710754,0,{Money_flow},{},{SYMBOLIC EXECUTION TIMEOUT},{}
samples/integer overflow (OF)/1116.sol,1116.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716298800.0713558,150.99873208999634,0,{},{},{},{}
samples/integer overflow (OF)/1124.sol,1124.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716310201.524172,2.705552816390991,0,{},{analysis incomplete},{Solidity compilation failed},{}
samples/integer overflow (OF)/1126.sol,1126.sol,honeybadger,solidity,2023/02/27,20240521_1302,1716307233.594058,60.42099595069885,0,{},{},{},{}
