filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
samples/integer overflow (OF)/1001.sol,1001.sol,maian,solidity,2022/11/11,20240521_0653,1716321386.028734,239.3390290737152,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1005.sol,1005.sol,maian,solidity,2022/11/11,20240521_0653,1716299435.545436,182.1858811378479,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1008.sol,1008.sol,maian,solidity,2022/11/11,20240521_0653,1716275298.885161,1108.2594051361084,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1010.sol,1010.sol,maian,solidity,2022/11/11,20240521_0653,1716320084.937684,107.54128503799438,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1018.sol,1018.sol,maian,solidity,2022/11/11,20240521_0653,1716283007.2974012,208.77995681762695,0,"{No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{Unknown operation},{}
samples/integer overflow (OF)/1021.sol,1021.sol,maian,solidity,2022/11/11,20240521_0653,1716285504.120181,544.1312408447266,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1028.sol,1028.sol,maian,solidity,2022/11/11,20240521_0653,1716301754.139868,32.19968795776367,0,{},{},{Cannot compile the contract},{}
samples/integer overflow (OF)/1031.sol,1031.sol,maian,solidity,2022/11/11,20240521_0653,1716286355.2009869,392.25850319862366,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1038.sol,1038.sol,maian,solidity,2022/11/11,20240521_0653,1716305491.3247612,33.06184768676758,0,{},{},{Cannot compile the contract},{}
samples/integer overflow (OF)/1039.sol,1039.sol,maian,solidity,2022/11/11,20240521_0653,1716319250.290402,182.31984210014343,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1040.sol,1040.sol,maian,solidity,2022/11/11,20240521_0653,1716284436.694277,203.3977508544922,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1050.sol,1050.sol,maian,solidity,2022/11/11,20240521_0653,1716303393.4688761,404.74768471717834,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1054.sol,1054.sol,maian,solidity,2022/11/11,20240521_0653,1716296133.906529,126.41699409484863,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1061.sol,1061.sol,maian,solidity,2022/11/11,20240521_0653,1716317341.99906,49.91238188743591,0,"{No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1062.sol,1062.sol,maian,solidity,2022/11/11,20240521_0653,1716299861.8383749,115.33310222625732,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1066.sol,1066.sol,maian,solidity,2022/11/11,20240521_0653,1716301885.847826,335.927757024765,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1067.sol,1067.sol,maian,solidity,2022/11/11,20240521_0653,1716298454.5079942,610.9405887126923,,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{analysis incomplete},{},{DOCKER_TIMEOUT}
samples/integer overflow (OF)/1069.sol,1069.sol,maian,solidity,2022/11/11,20240521_0653,1716310282.692906,611.0028009414673,,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{analysis incomplete},{},{DOCKER_TIMEOUT}
samples/integer overflow (OF)/107.sol,107.sol,maian,solidity,2022/11/11,20240521_0653,1716301172.924597,85.06439805030823,0,"{No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1073.sol,1073.sol,maian,solidity,2022/11/11,20240521_0653,1716321710.043125,120.95983695983887,0,"{No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1074.sol,1074.sol,maian,solidity,2022/11/11,20240521_0653,1716305421.80388,395.2970201969147,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1076.sol,1076.sol,maian,solidity,2022/11/11,20240521_0653,1716284055.8084428,154.88090705871582,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1078.sol,1078.sol,maian,solidity,2022/11/11,20240521_0653,1716296519.7355368,43.28054237365723,0,"{No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1081.sol,1081.sol,maian,solidity,2022/11/11,20240521_0653,1716314541.221888,65.56265091896057,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1083.sol,1083.sol,maian,solidity,2022/11/11,20240521_0653,1716284812.096405,66.3606960773468,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1087.sol,1087.sol,maian,solidity,2022/11/11,20240521_0653,1716301641.812285,146.25019788742065,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1089.sol,1089.sol,maian,solidity,2022/11/11,20240521_0653,1716282144.0300338,57.88093328475952,0,"{No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1092.sol,1092.sol,maian,solidity,2022/11/11,20240521_0653,1716295269.2464378,418.53870725631714,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1094.sol,1094.sol,maian,solidity,2022/11/11,20240521_0653,1716309977.462141,449.0998058319092,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1097.sol,1097.sol,maian,solidity,2022/11/11,20240521_0653,1716278765.2075121,2098.7559900283813,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{analysis incomplete},{Transaction HexBytes('0x2d2c892a7616f1e1087cb4ea787cb80f117862f0},{}
samples/integer overflow (OF)/1100.sol,1100.sol,maian,solidity,2022/11/11,20240521_0653,1716298201.150144,457.4122040271759,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1104.sol,1104.sol,maian,solidity,2022/11/11,20240521_0653,1716285702.8003242,468.7792797088623,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1111.sol,1111.sol,maian,solidity,2022/11/11,20240521_0653,1716296846.180085,41.03211808204651,0,{Not_destructible_no_self_destruct},{},{},{}
samples/integer overflow (OF)/1116.sol,1116.sol,maian,solidity,2022/11/11,20240521_0653,1716282062.134659,158.10014009475708,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
samples/integer overflow (OF)/1124.sol,1124.sol,maian,solidity,2022/11/11,20240521_0653,1716308937.6658099,44.024216175079346,0,{},{},{Cannot compile the contract},{}
samples/integer overflow (OF)/1126.sol,1126.sol,maian,solidity,2022/11/11,20240521_0653,1716301788.065472,170.59221816062927,0,"{No_Ether_leak_no_send,No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct}",{},{},{}
