filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
.\samples\timestamp dependency (TP)\10022.sol,.\samples\timestamp dependency (TP)\10022.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716390527.4642255,546.4021642208099,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10023.sol,.\samples\timestamp dependency (TP)\10023.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716376748.0025494,21.383985996246338,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10024.sol,.\samples\timestamp dependency (TP)\10024.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716385330.7595594,567.1631321907043,0,{Money_flow},{},{SYMBOLIC EXECUTION TIMEOUT},{}
.\samples\timestamp dependency (TP)\10025.sol,.\samples\timestamp dependency (TP)\10025.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716391325.0944107,560.9466714859009,0,{Money_flow},{},{},{}
.\samples\timestamp dependency (TP)\10129.sol,.\samples\timestamp dependency (TP)\10129.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716378316.1662557,408.55227422714233,0,{Money_flow},{},{},{}
.\samples\timestamp dependency (TP)\10131.sol,.\samples\timestamp dependency (TP)\10131.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716392837.7738178,612.3634238243103,,{Money_flow},{analysis incomplete},{},{DOCKER_TIMEOUT}
.\samples\timestamp dependency (TP)\10133.sol,.\samples\timestamp dependency (TP)\10133.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716401764.6418164,195.23186802864075,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10146.sol,.\samples\timestamp dependency (TP)\10146.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716391024.9048629,611.6598081588745,,{},{analysis incomplete},{},{DOCKER_TIMEOUT}
.\samples\timestamp dependency (TP)\10159.sol,.\samples\timestamp dependency (TP)\10159.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716395196.1541426,493.0712459087372,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10163.sol,.\samples\timestamp dependency (TP)\10163.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716374585.861394,154.39285469055176,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10186.sol,.\samples\timestamp dependency (TP)\10186.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716392443.7834334,307.89959812164307,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10189.sol,.\samples\timestamp dependency (TP)\10189.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716378546.888444,611.5765342712402,,{},{analysis incomplete},{},{DOCKER_TIMEOUT}
.\samples\timestamp dependency (TP)\10233.sol,.\samples\timestamp dependency (TP)\10233.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716397549.2252247,404.0393924713135,0,"{Hidden_state_update,Money_flow}",{},{},{}
.\samples\timestamp dependency (TP)\10250.sol,.\samples\timestamp dependency (TP)\10250.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716396181.2403798,539.7632043361664,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10253.sol,.\samples\timestamp dependency (TP)\10253.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716398180.2162704,382.19522500038147,0,{Money_flow},{},{},{}
.\samples\timestamp dependency (TP)\10295.sol,.\samples\timestamp dependency (TP)\10295.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716391269.5237463,362.9285776615143,0,{},{incomplete push instruction},{},{}
.\samples\timestamp dependency (TP)\10296.sol,.\samples\timestamp dependency (TP)\10296.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716382925.8830328,339.7585413455963,0,{},{incomplete push instruction},{},{}
.\samples\timestamp dependency (TP)\10297.sol,.\samples\timestamp dependency (TP)\10297.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716387047.6172976,501.4482116699219,0,{Money_flow},{incomplete push instruction},{SYMBOLIC EXECUTION TIMEOUT},{}
.\samples\timestamp dependency (TP)\10298.sol,.\samples\timestamp dependency (TP)\10298.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716400152.4544077,124.41949033737183,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10342.sol,.\samples\timestamp dependency (TP)\10342.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716374305.2914872,107.22114777565002,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10369.sol,.\samples\timestamp dependency (TP)\10369.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716399649.830387,447.5857765674591,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10431.sol,.\samples\timestamp dependency (TP)\10431.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716377487.17859,448.11175060272217,0,"{Hidden_state_update,Money_flow}",{},{},{}
.\samples\timestamp dependency (TP)\1051.sol,.\samples\timestamp dependency (TP)\1051.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716380369.1196988,611.3698058128357,,{},{analysis incomplete},{},{DOCKER_TIMEOUT}
.\samples\timestamp dependency (TP)\10547.sol,.\samples\timestamp dependency (TP)\10547.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716389588.475952,323.4188165664673,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10551.sol,.\samples\timestamp dependency (TP)\10551.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716374123.247526,562.2810244560242,0,{},{},{},{}
.\samples\timestamp dependency (TP)\10552.sol,.\samples\timestamp dependency (TP)\10552.sol,honeybadger,solidity,2023/02/27,20240522_1025,1716374928.2729325,566.6734802722931,0,{Money_flow},{},{SYMBOLIC EXECUTION TIMEOUT},{}
